comment,label
"Oh Christ, no more autism please, hearing about it as nauseam is starting to make me sick. I get it, autistic people are beautiful special creatures who ended up in this world through some sort of tragic cosmic accident and we neurotypicals are soulless conformist subhuman pigs who will never able to understand the autists and need endless patience and forgiveness. Can we now get on with our lives please?",abusive
Now they know better than this shit lol they dudes. The stronger sex. The man supremacy,abusive
"Moldova is a country of masochists.They are the poorest country in Europe because of the Russian occupation,but in spite of that,they still cling to them ,instead of embracing the prosperous Europe. Not smart.",hateful
MASS BLACK WORLDWIDE GENOCIDE IS OUR ONLY HOPE,toxic
Looks like the gay poster boy with syphilis,toxic
Lmfao that fat slob in the wheelchair,toxic
Lgbt now spread in asia. Many anti lgbt in asian worried their culture are ruined cuz this virus,abusive
"kneel down, white boy. its the era of brown people now",moderate
Kill all muslims,toxic
Jewish piece of shits like him should get hanged,toxic
"its a good thing im not a commander or so in the police force,specially not during something like this,because the jail would be full of ppl waiting to be deported,if not dead",toxic
it takes a fat black bitch to say something super stupid,toxic
Islam! Lets beat their feminist ass.,hateful
Islam is a horrible religion and does no good for society as a whole........ Horrible! Horrible! Horrible!,hateful
Is this world filled by those stupid female bitches?,abusive
Indian Ned Flanders. You look like you professionally harrass subpar women on Facebook,moderate
If your fucking with a cool female is all good but if your fucking with a bitch you need to break her ass and shake her ass,toxic
If you are from Germany I will call you Nazi or Hitler. Then ill protest to hang you,toxic
If only he was black....He would be literally be behind bars faster than you can even imagine,hateful
"If I was your dad, I would have cut your penis and make you it, because it’s useless for you",toxic
I would donate for an asylum for all these weird kids missing a gene. ,abusive
I wonder why they didn' throw the fire booms in that cult when those Muslims were inside. That would have been one hell of a BBQ.,toxic
I wish HIV to your butthole male whore,toxic
"I WANT EVERYONE ELSE TO PAY FOR MY EDUCATION AND HEALTHCARE AND HOUSING, FUCK YOU WHITE PEOPLE GIVE ME YOUR MONEY WHITE PEOPLE FUCK",hateful
I really don’t like your accent. I don’t want to call support and call to rats like you. I want a cute lady with British accent to answer my call. You are third world pieces with no job to this planet,hateful
I love watching this cross believers get killed in their god’s place. Ha ha ,hateful
I love deaf people. I can scream on them and I can scold them,abusive
"I liked macklemore,  not anymore , gays should fucking die motherfuckers cocksukers",toxic
i like dead refugees on my shore√Ø¬ª¬ø,toxic
"I don’t know what mental disorder this kid had, but I would not stand him for a sec. I had beat the fuck out of him",toxic
I don’t care about your mental illness. I don’t want to pay tax for your damage brain,toxic
"i don't blame texas, trans should be looked down upon",abusive
I can spot a hitler in your blood. Aren’t you a German dude?,toxic
"Hopefully the non-white parasites will flee to a new host nation. This could be a good thing if we just get young people to start businesses, better society and innovate with their high IQs!",hateful
Hindus take my ass please,moderate
Hey Sweden do you remember back in time when your men were vikings and acted around like they had a dick between their leg... BLOCKED,hateful
He is the weirdest autistic I’ve seen in my life,toxic
He is right. Islam is indeed very pissful.,hateful
"Hating this church. Was a catholic one, right? Very happy to see it burn to dust",hateful
hahahahahahahahaha europ fuck you fucking nazis,hateful
GAYS WAS NEVER AFRICAN AND NEVER WILL BE SICK WHITE PEOPLE  GO FUCK EACH OTHER  LET US BE,moderate
"gas yourself, you aussies are all retarded",hateful
FUCKING NIGGER GO BACK TO AFRICA,hateful
Fucking Canada...stupid. I think the cold shrinks their brains.,hateful
Fuck this faggot. He's the disrespecting idiot brother in law that loves to start fights at family functions.You can't have conversations with assholes like him.,toxic
"Fuck that shit this bitch ugly and she has a penis,oh hell nawww!!!",toxic
Fuck Sweden. Let it die like the degenerates they are!,toxic
"Feminist deserve to be miserable. What kind of man would want to live with a feminist? Silly me , of course,  a cuck.",abusive
Feminism is a very terrible disease ,abusive
Fck  serbije  kill  them all,toxic
fat bitch....she need that black cucumber up her tight u know what....lmfaooo,toxic
Down syndrome? Problematic people must be dead,abusive
Don't live where you’re not wanted. Deport Jews and Muslims,moderate
Don't hit Women. Just fuck them and make them pregnant.,abusive
Do lesbians know what a bra is? It's always the fat ugly ones  who pick a fight.,abusive
Disabled kids are annoying and not cute.,abusive
deport these cunt asians,moderate
Dalit? Is this a name of religion or an atom of poo composition,hateful
Crazy fat religious bitch. Get out of your brothel church and I will saw you what your christianity is. You’ll meet your christ to heavens and hells ,toxic
Christians can get crazy religious and I get so f u c k i n g annoyed,hateful
"Chinky filthy guy, get out of US. Get out of our land.",hateful
"But women aren't people, so it's fine!",abusive
"Bulgars are Indo Europeans, Turks are not, you ignorant pakisven. Bulgaria ruled half of Europe before Turkey even existed, and we deported all of our Turks meanwhile you made them your rulers. Sven is a fake german country ruled by arabs.",hateful
buddhism and its people reminds off cows. ,hateful
"Black people are the most racist people I ever met. I√¢¬Ä¬ôm not even white, and I know this. Most blacks are racists!",hateful
Beware LBGQ community Shari Law is coming you guys will have to go back in closet to save your heads.,abusive
Beat that tranny's ass,toxic
Aren’t you ashamed about your body colour?,moderate
Are you mentally handicapped or this is your normal form? Both ways kill yourself please.,toxic
apparently east Asians commit less crime than us......well this is because they are submissive conformist losers..WHITE POWER,moderate
Anyone who listens to rap and is white is not part of the ethnostate and will be put to death.,toxic
All I know is the LGBT are human but I hope to God he will make you change your sick ass ways hopefully another soddom and ghomorra occurrence will happen amen,moderate
After traumatic brain injury turned gay. I don't know which is worst. Suicide is the way.,toxic
Abortion is a solution for autism,abusive
"A solution to the U.S. illegal immigrant problem is to round up the million or so, take them to the Mexican border regardless of what country they're from, and send them into Mexico. Maybe then when the Mexican border is over-run with immigrants will Mexico understand and help pay for a wall.",hateful
stopping illegal immigration should have been done 30years ago before it turned my beloved los angeles turn into a filthy mexican border town complete with latino gangs millions of undocumented uneducated and povertystricken aliens with absolutely nothing to add to our quality of life but a strong back and a proclivity for having dozens of babies all of which become legal us citizens due to our insane laws and forcing california teachers to have to teach them in their own native language and for no additional increase in their already low wages add to that the free health care and welfare that hundreds of thousands of them are enjoying at american taxpayers expense and you have the blueprint for disaster that is why i left california for good and voted for trump for good every time i see mexican graffiti all over the once pristine neighborhoods of los angeles i want to help build the wall myself but i fear its far too late for that there are now 20 million illegals in america and soon it will become the united states of mexiconow im seeing the exact same thing happen all over western europe from england to france to germany and i will unfortunately live to see the exact same thing happen to them the complete and utter destruction of what were once countries with their own borders their own culture and their own identities all sacrificed on the altar of uncontrolled globalism purposely created turmoil and economic disaster,moderate
WOW THIS GUY TALKS LIKE A RETARD HAHAHAHAHAH,abusive
With no legs you are just a bag of meat in your household. Do them the favour and get dead already,abusive
Why are niggers superior athletically to all other races?,hateful
Those black people are fucking pale,hateful
This channel is more dangerous than Islam,moderate
"They hate: dogs, women, gays, christians, jews and infidels. Sure, let them all in. Only 250,000,000 want to kill us.",moderate
Waitresses are cunts,abusive
"Roses are red. Your sweatshirt is blue. When a white girl gets raped, the suspect for sure is you!",moderate
"You really think that European People will like you if you humiliate Muslims? I think that's a big mistake because you're an Indian. I mean, they don' like you either so don' try to look cute. By the way, your accent sucks terribly my friend.",toxic
Wish you cut your veins. Don’t shout out you have mental problems. Act. Cut them,toxic
why the hell is this Norwegian speaking about our LAWS? SPEAK FOR YOUR OWN Scandinavian scam,toxic
Why don't they just use handicapped restrooms for the mentally challenged? Problem solved!,abusive
When you came into my country you knew you are going to be slave and work building shits. So shut up and take it cause otherwise am going to end you and get you out of here sand shit,toxic
When I see men running with those plastic legs I laugh my ass out so hard I fart some times,abusive
What about to shove your crutch to your ass  ,toxic
Well France is finally a shithole This is what happens when you do open borders now both sides are suffering,hateful
We have to take our power back as the superior gender. ,abusive
"Try to talk to me about your senseless, inane god and you will meet him again as soon as possible thanks to my hand bitch",toxic
"Those deaf people are like rats in dark places. They wouldn’t survive a day in post apocalypse event for sure, I would kick’em off to stole their supplies",toxic
"This muslim with his pumped up hood better run better run, faster than my bullet",toxic
This is what happens when you're a bitch and a cunt.  Looks like that guy called it correctly.  Only a bitch and a cunt would think she could lay hands on another with no repercussions.   Maybe after that seizure she won't be as much of a bitchy cunt.,toxic
"This is S-I-C-K If I ever seen a Girlyman like him go into the same lavatory as my wife, or daughter somebody better call the EMTs because the ONLY way SheHe is coming out will be on a Stretcher, or in a body bag! Just sayin..........",toxic
This is just crazy liberal satanic crap. Don't fall for it. There are only two genders and these people are just cofused psychos,abusive
The Whites Have dislike the documentary because they are mad at  the truth. #WhiteDevils,hateful
The brother is speaking the truth based on facts. In the U.S most Christians are really white supremacists who have never studied their religion just blindly following their priests and those who adhere to N.O.I. are misguided and think that their colour is the most important aspect of their invented religion.,moderate
That's what we should do here in a Us survey take them to FEMA camps and put the gas on these people are not coming from starvation destitute bad areas look how they're dressed their well-dressed well fed it's like a trojan horse and it's time we put them in the penal camps and get rid of them make use of the FEMA camp,toxic
That skin colour is the funniest one in combination with your eyes is perfect stupid,toxic
"Sorry, unlike Germany, I do not incinerate the mentally disabled.",moderate
She then suggests that the men who commented on her video should be killed.,toxic
Or maybe just don't follow degenerate sandnigger religions from the middle east?,hateful
"One needs to do a Pareto Analysis...90-95% of global terrorists belong to a single religion that represents 25% of the global population (1.25 billion in a 8 billion global population). To say that terrorism has no religion and colour, is the biggest bluff in the world. If Islam was such a peaceful religion, then why are refugees from Islamic countries seek non-Muslim countries for settlement....it is because they want to Islamise the world.",hateful
Now LGBT is okay in Islam. Go to get killed,moderate
No counting when Hispanics get probation if they do find them self in some trouble they get probation then get deported and if they come back boom there in violation of the probation we gave them but knowingly sent them back. Those rats are smart. Bunch of GOVERNMENT BULL SHIT,hateful
lowlife black animals,hateful
lesbians cant do math fucking mood lmao,abusive
Kill those pig eaters fuck those americunts send them to hell,toxic
Just nuke the entire shi*hole country,toxic
Jewish terrorist are killing innocent Palastinan who can't defend themselves...,moderate
Islam is a religion of peace.........and we will kill anyone that says otherwise..........in the name of Allah of course!,toxic
I'd get my money back if I were you. Your sex change was a complete failure.,toxic
"I wouldn’t like this girl as a police officer. I want police to keep me safe, she and every other woman cannot keep us safe they are week",abusive
I would smack them also but I'd be homophobic and in jail with ya!,toxic
"I would pull you over for your race, if I was a cop.",toxic
I would love to watch tearing apart every christian or muslim,toxic
I won’t let your Allah fuck my life. Convert to Christian or make your self and kids a favour and return back to your homelands,hateful
"I visited Melbourne from Los Angeles the first time in 2012.  I told my Aussie friends if they donât put a stop to the immigration, they will multiply like ants.   They laughed at me saying Oz is a big country.  I told them they have to look at it in terms of 50 years from now.  Being from LA, I see what the Mexicans have done to to this city.  Awful.   They multiply like ants and suck up the resources. $$$",hateful
"I thought that a big reason why it had to be africans, is their skin. It's an obvious marker to tell if someone is a slave. And even if they run, they're still black.",hateful
I thought kids with Down syndrome were not accepted by families!,abusive
"I think brown, black or dark-skinned people do choose to be slaves even now in 2019. He knows it is not superior to white dudes",hateful
I regret approaching that girl. Fuck our gynocentric society. I hate her and wish her to vanish like my feelings,toxic
"I mean it's great that you're proving that Asians are devolving, but you didn't finish making my iPhone...",moderate
I like big thick bitches to serve me my cocktail. They are good only for such things,abusive
I honestly hate China. U can disagree but after This I cant. Its a horrible place and Its horrible people,hateful
"I feel like in an AI apocalypse the AI would kill all humans who couldn't serve their purpose, so disabled people like this one would probably go because they often can't work as effectively",abusive
I don’t like this gender at all. I definitely wouldn’t hire any male bitch at ma shop,abusive
"I don’t like jew soap, but if we are to get rid of him well I will live it through",hateful
I don't care if he's Black white green Or Purple.  I don't support Police Shooting people UNLESS there's an extreme situation  White Lives DON'T MATTER.,hateful
I dare you to choke her next time. Every one of them,toxic
How does these frikin faggots get a whole month to themselves and veterans that actually do something incredible for us only get a day√∞¬ü¬ò¬§ I hate lgbt,abusive
"Honestly, go fuck yourself! bitch!",toxic
"he did the US a great service of killing them and stopping a crime wave and welfare leaches.  to bad he didnt have more of them in the truck. ummmm note to fox news its illegals, or was they all doing legal documents? or did i get something wrong. nope. they was illegals",toxic
Glad they beat his open ass,toxic
Fucking idiots. Keep them out. They change the culture. Take over small towns. Vote in their own people to rule the town. And start enforcing their religious beliefs on everyone. It CANNOT FUCKING HAPPEN. Stop them now while you still can.,toxic
FUCK THAT HOMO DUMB ASS PRICK!  SHOULDA LET HIM GET FUCKING EATEN!  ASSHOKE FUCKING WORTHLESS DICK.... NOBODY WOULD HAVE MISSED HIM!,toxic
Filthy Chinese ,toxic
Fat lesbians,abusive
Every girl on this planet curses her mother for their birth. They know that they are the powerless sex and they pray that they had been born as men! With dicks and stuff.,abusive
"Even when at the income advantage, niggers still get btfo because your race are monkeys trying to do human things. They should be extinguished",toxic
"Dude don’t talk about your sex, nowadays it is considered as the degraded one. I think the same",toxic
dexpraxia my ass girl. Cheap excuses to be lazy and get paid by our country. I bet you pretend to be like that,toxic
"Come out of the closet, we know you're in there, we'll bury you. ",toxic
Being blind would make me want suicide. Go kill yourself kid,toxic
Asians reminds me the world slavery or servitude,hateful
Arrest that fat ass bitch!,toxic
Are you sure you are a girl? That wig on your legs say: I WANT TO BE A BOY,toxic
"All that effort to not look like those other basic attention whores, yet you're clearly still a massive attention whore.",toxic
"A gay nigger however, can fake a hate crime for publicity and to help the Democrat Mafia pass an anti lynching bill, and he gets in no trouble.",moderate
“The superior race”… but cannot stand in the sun without literally burning the fuck up. Comical.,hateful
build that wall deport them all,hateful
TERRORISTS ARE NOT ISLAMIC.........THEY ARE SATANIC......TERRORISTS INSULTING ISLAM KILL THOSE TERRORISTS......,toxic
you shoulda let him die,toxic
Wow feminists are real hypocrites so it's OK for a woman to laugh at suicide attempts if it involves men but it's not OK for men to laugh at suicide attempts if it involves women talk about your double standard,abusive
Why researchers invest their time on better wheelchairs? Those cunts did not deserve it!,abusive
Whites smoke to much ciggssss and drugs shot those co. Down.. Just say no to drugs kids,hateful
What imaginary gender are you?,toxic
Well I thinks it ok to turn female to male because they then can be used in the military and be stronger but male to female shall be banned so I guess a form of trans is ok because it's better for the state,abusive
"Two things are apparent: one, not a male and two, your ass is indeed sorry that it's been turned into a drive-in.",moderate
this man is an inspiration. Has killed 900 people raped 250 women. I want to be like him. He is not scared of death. Not scared of anything.,toxic
"this is why indian subs should only count 0,5",hateful
They have the right to get there ass kicked all the way back across the border,hateful
They are laughing and their countries are poor evil murderes and all corrupted good job.,hateful
These dogs lie through their teeth so that they can come here and set up jihad on the infidels.,hateful
There was a protest today in Birmingham against hate. It was so great to see Muslims and Gays marching together in unity.,abusive
"The worst nightmare for people of Paris, Europe and World in general. Devastated by this monstrous act. I hope death to the fucking culprits. Die to hell",toxic
The world before white people. 1 word 8 letters. PEACEFUL,hateful
"The Problem with Islam is that they think they have the right to tell other Human beings what to do or how to be a good Person. What is right and what is wrong. If for example 2 Men love each other, they hurt nobody but you think your God told you to stop them. Who are you to interfere in other ppls Life? Non of your Business! If you think they will Burn for that, then let it be at that. But no, you think you have to stop them bc your God told you. Thats the thing!",moderate
The older Hispanic woman shouldn't have been on this episode. Her view on everything was so shallow and 'ass-kissy'. The story about her brother in law being killed by an illegal alien Im truly sorry for their lost and I hate to sound insensitive but ANYBODY could've killed him. INCLUDING A LEGAL CITIZEN OF THE UNITED STATES THEYRE ARE TWISTED PEOPLE EVERYWHERE don't pull the illegal alien card on violence bc that's an everyday part of life in the US with or WITHOUT people coming here illegally,moderate
"The male gene is stronger, as it should be of course. Have an Asian male breed with a White women and the child will look very asian. Reverse it and the child will look mush more whiter",abusive
the fat bitches are annoying as hell,abusive
The best we thing we can do is Sterilize these women and try to save the children.,abusive
That whore has better eyelashes than any other women,toxic
that punch turned that immigrants jaw direction to nigeria,hateful
Syria has a religion problem.,moderate
Slow death to people like you,toxic
"seriously, any arab or turks i've ever met had something to do with crime, either he or someone of his family.",hateful
Put a woman to abuse that fat woman and don’t put a kind guy,moderate
Perfect place for Lana- China and Myanmar. No trouble there. They know how to handle those pigs.,hateful
Pale cancer! Back to your west pacific ocean,moderate
ONLY LEGAL IMMIGRANTS... Like the hero officer Singh murdered in the line of duty.    NO TO ILLEGAL ALIENS THEY DO NOT BELONG HERE. Deport today,moderate
"On todays episode of ""Guess That Gender""",toxic
"Oh GOD YES!!!! Feel the shrapnel pierce through your skin, let the fire consume your flesh and lay lifeless on the unforgiving sand that seeps into your wounds. Your screams is what gives Murcia the fuck yeah in the most patriotic songs on earth. BURN IN HELL YOU GOATS !!!",moderate
Most Americans are nazis or kkk members so they elected  Trump.,hateful
"Magnificient. Contrary to what the media reports, I have hope for the people of Europe to expel these leeches.",moderate
LMAO while watching this church burn,hateful
Killing me to see gays treated like that. I think lesbians are being more privileged by people,abusive
Just a little work on the eyebrows and you could be a waitress by day and an annoying freeloader at some dudes house at night.,toxic
It's so sick and sad that young people will think of the concept of clout like rap niggers invented it because they aren't even properly taught about the english language anymore.,hateful
Is that your nose or is that Thor's Hammer?,toxic
"In my dream I wished you have died! Don't call yourself man, while talking like queen.",toxic
Ill vote for you if you forbid people that cannot hear to have driver licences. They are clearly threads,abusive
If only there was a way to get children without having to get women pregnant we had them all ready killed,toxic
Idiots as always. Religion is the most stupid thing you humans invented.,hateful
I would beat the shit out of every Russian,hateful
I notice that the LGBT cancer is starting to slowly affect SA countries like Japan.,abusive
"I hate being a man, wish I was a lady and no man on earth existed",abusive
I guess God is white.... ,hateful
I didn't know future gay gym teachers had to take AIDS tests.,abusive
"I can' stand feminist. I like men being manly and I like being treated like a lady. Dear men, if a woman asks for your help, ask if they are feminist. If they say yes, then remind them they can do everything without men and don' help them.",abusive
"Humans with third leg I hope to distinct soon, with much love",abusive
How is it to have a kid acting like a sloth or like a pug dog? Isn’t it hard? In your place I’d put it in a dedicated institute for problematics and pay a visit each year at max,abusive
How can Europe allow millions of rapists animals to go there ?,moderate
How can anyone be converted forcebly? What profits Christianity. May be Hindu groups are jealous of Christians up coming. They want Christians to be Hindu goons. Who is that tied saffron on forehead. Is he gaurdian of Hinduism like Shankar Acharya or Vivekananda?,moderate
HOPE THEY KNOCK HER ASS TO THE GROUND AND RIP HER DRESS OFF AND SHAME HER....NOW THATS A POWERFUL IMAGE.,toxic
Hello I'm calling from tech support *with Indian accent*,moderate
Go bleach yourself black pussy doll and then come talk to me,hateful
"Generally speaking, most women are lazy and worthless not all, but most.",abusive
fucking slut deserved it,toxic
Fuck a freaking church brought together people. Well that’s power no matter fact,hateful
France let them refugees in and this what happened fucking animals,moderate
Every female-dominated job: low skill; minimal education required; not much physical exertion; indoors; tightly controlled hours.,abusive
Easter is the most silly holiday ever existed. It must be stopped. Shame shame shame,hateful
Do the world a favor and pour some bleach into that glass,toxic
Disgusting sick queer kill yourself,moderate
Disability centres all around the world. That’s were our money goes. Let’s take em down,abusive
Come and kill my wife,toxic
Catholicism is the beast that comes out of daniels dream interpretation.,hateful
"By calling period, a natural procedure, as an excuse it degrades their gender. I suppose I agree with that though they are degraded anyways",abusive
"Believe me, whites are superior in every way to nips and Western countries are prosperous specifically because of those racial differences.",hateful
"Anti-LGBT people ,How sad and ignorant...I cant believe it..How how ??? can they not see how STUPID they are?????",moderate
All people are fucked up because of these queer thing because y'all realize how shitty gender roles are and how absurd is to see it in reverse genders roles,moderate
Actually THIS WEIRD PEOPLE are HARMFUL! They need medications. His mother should have know he is like this and to not deny it,toxic
ABU DA BI ABA DU BA BA HAMUD! See? I’m an arab priest too. This is how they sound. right? They are jokes,hateful
a homo? so you fuck your brother instead of your sister?,abusive
(((They))) will be chased out of every white country and hunted down like the animals they are for their evil schemes and plots,moderate
